req_id,compute_sat_id,src_node_id,t_queue_enter_ns,t_compute_start_ns,t_compute_end_ns,T_compute_ns,T_queue_wait_ns,L_in,L_out
155,3,103,15753692171,20364995948,20493695948,128700000,4611303777,1104,166
156,3,103,15949691885,20493695948,20713595948,219900000,4544004063,2000,198
157,3,103,15957999348,20713595948,20776645948,63050000,4755596600,376,309
158,3,103,16010163254,20776645948,20818295948,41650000,4766482694,249,135
159,3,103,16026457007,20818295948,21033295948,215000000,4791838941,1891,318
160,3,103,16287411732,21033295948,21115495948,82200000,4745884216,621,202
161,3,103,16427701388,21115495948,21340345948,224850000,4687794560,1966,365
162,3,103,16495683099,21340345948,21554395948,214050000,4844662849,2000,81
163,3,103,16858756801,21554395948,21777645948,223250000,4695639147,2000,265
164,3,103,16925348075,21777645948,22002245948,224600000,4852297873,2000,292
165,3,103,17091017956,22002245948,22112045948,109800000,4911227992,895,206
166,3,103,17243765863,22112045948,22222145948,110100000,4868280085,895,212
167,3,103,17265647895,22222145948,22334045948,111900000,4956498053,919,200
168,3,103,17350274785,22334045948,22374095948,40050000,4983771163,283,35
169,3,103,17520499555,22374095948,22430395948,56300000,4853596393,344,238
170,3,103,18032183584,22430395948,22647095948,216700000,4398212364,2000,134
171,3,103,18050705351,22647095948,22775445948,128350000,4596390597,1139,89
172,3,103,18053118170,22775445948,22829995948,54550000,4722327778,344,203
173,3,103,18142270729,22829995948,22886895948,56900000,4687725219,344,250
174,3,103,18148994978,22886895948,22983445948,96550000,4737900970,683,365
175,3,103,18197524358,22983445948,23085295948,101850000,4785921590,811,215
176,3,103,18331019887,23085295948,23306695948,221400000,4754276061,2000,228
177,3,103,18500278833,23306695948,23520345948,213650000,4806417115,2000,73
178,3,103,18695451718,23520345948,23627045948,106700000,4824894230,876,182
179,3,103,18702957508,23627045948,23812145948,185100000,4924088440,1660,182
180,3,103,18713766354,23812145948,23858645948,46500000,5098379594,282,166
181,3,103,18798008624,23858645948,23966295948,107650000,5060637324,895,163
182,3,103,18867431489,23966295948,24043645948,77350000,5098864459,565,217
183,3,103,19112670824,24043645948,24146695948,103050000,4930975124,895,71
184,3,103,19142972752,24146695948,24198145948,51450000,5003723196,414,1
185,3,103,19158641660,24198145948,24341195948,143050000,5039504288,1236,189
186,3,103,19234779596,24341195948,24528645948,187450000,5106416352,1708,133
187,3,103,19576071632,24528645948,24755095948,226450000,4952574316,2000,329
188,3,103,19591300752,24755095948,24960595948,205500000,5163795196,1868,174
189,3,103,19592617551,24960595948,25009645948,49050000,5367978397,365,51
190,3,103,19607246491,25009645948,25234695948,225050000,5402399457,2000,301
191,3,103,19661181137,25234695948,25353895948,119200000,5573514811,1029,126
192,3,103,19773898807,25353895948,25502045948,148150000,5579997141,1234,295
193,3,103,19863858534,25502045948,25574645948,72600000,5638187414,533,186
194,3,103,19917509827,25574645948,25794595948,219950000,5657136121,2000,199
195,3,103,20041081379,25794595948,26017545948,222950000,5753514569,2000,259
196,3,103,20179657645,26017545948,26157095948,139550000,5837888303,1245,101
197,3,103,20352181695,26157095948,26264245948,107150000,5804914253,895,153
198,3,103,20551075836,26264245948,26357845948,93600000,5713170112,717,238
199,3,103,20632154156,26357845948,26467095948,109250000,5725691792,895,195
200,3,103,20706483897,26467095948,26593595948,126500000,5760612051,975,380
