req_id,compute_sat_id,t_first_arrival_ns,t_last_arrival_ns,D_gather_ns,total_pkts_expected,total_pkts_received,src_node_id,L_in,L_out_expected,t_emit_ns
54,2,6866228304,6867578710,1350406,2,2,102,734,0,6710809248
55,2,6983314896,6988846139,5531243,2,2,102,2000,0,6825707197
56,2,7176476587,7181118210,4641623,2,2,102,1722,0,7021050085
57,2,7240827978,7244763978,3936000,2,2,102,1170,0,7085399944
58,2,7251453566,7251453566,0,2,2,102,329,0,7095619956
59,2,7263280816,7266392846,3112030,2,2,102,1271,0,7107852255
60,2,7286673839,7288837044,2163205,2,2,102,988,0,7122443879
61,2,7301614116,7301614116,0,2,2,102,315,0,7146568609
62,2,7312155813,7317687057,5531244,2,2,102,2000,0,7156726074
63,2,7340664028,7345545645,4881617,2,2,102,1797,0,7185233591
64,2,7410713503,7413403116,2689613,2,2,102,1139,0,7255281384
65,2,7451103903,7452815908,1712005,2,2,102,847,0,7286715770
66,2,7509140064,7511663277,2523213,2,2,102,1087,0,7353705588
67,2,7512853702,7518359319,5505617,2,2,102,1992,0,7354281681
68,2,7519549753,7525080969,5531216,2,2,102,2000,0,7356629038
69,2,7600703395,7600900194,196799,2,2,102,387,0,7445266701
70,2,7724371098,7729902342,5531244,2,2,102,2000,0,7568676459
71,2,7867108657,7869846269,2737612,2,2,102,1154,0,7711665543
72,2,7938800216,7939883414,1083198,2,2,102,664,0,7783355358
73,2,8079791920,8082804724,3012804,2,2,102,1240,0,7924343648
74,2,8270585296,8275290912,4705616,2,2,102,1742,0,8115132384
75,2,8383898869,8389430104,5531235,2,2,102,2000,0,8228443212
76,2,8426917878,8429956282,3038404,2,2,102,1248,0,8271461175
77,2,8462625265,8464330862,1705597,2,2,102,564,0,8306451496
78,2,8503521126,8503521126,0,2,2,102,146,0,8351150451
79,2,8507181894,8508053892,871998,2,2,102,598,0,8351245139
80,2,8535532067,8537404072,1872005,2,2,102,897,0,8377715213
81,2,8577306174,8580896612,3590438,2,2,102,1407,0,8421845817
82,2,8582133411,8582327008,193597,2,2,102,386,0,8423179777
83,2,8686474837,8686674834,199997,2,2,102,388,0,8522621831
84,2,8740378143,8740378143,0,2,2,102,160,0,8587777711
85,2,8836990203,8840609414,3619211,2,2,102,1416,0,8681523471
86,2,8864244466,8869775710,5531244,2,2,102,2000,0,8708777094
87,2,8870966126,8871102124,135998,2,2,102,368,0,8715129341
88,2,8871655724,8871655724,0,2,2,102,140,0,8717377933
89,2,9173403217,9178934462,5531245,2,2,102,2000,0,9017928277
90,2,9198494505,9199228901,734396,2,2,102,555,0,9041028772
91,2,9351786853,9357318071,5531218,2,2,102,2000,0,9196307500
92,2,9384799536,9390330754,5531218,2,2,102,2000,0,9229319369
93,2,9480980517,9486511752,5531235,2,2,102,2000,0,9325497966
